,Flat Name,Flat address,Configurations,Possession_Starts,Avg. Price,Sizes,Project Area,Project Size,Launch Date,About,images
0,GR Samskruthi,"No 126, Indlabele Village, Attibele, South Bangalore, Bangalore","2, 3 BHK Apartments","Nov, 2025",3.90 K/sq.ft,1075.00 sq.ft. - 1410.00 sq.ft.,4.3 Acres,8 Buildings - 414 units,"Feb, 2021","GR Samskruthi is a project by GR Constructions in Bangalore. It is a Under Construction project. GR Samskruthi offers some of the most conveniently designed Apartment. Located in Attibele, it is a residential project. The project is spread over 4.3 Acres . It has 414 units. There is 1 building in this project. GR Samskruthi offers some of the most exclusive 2 BHK, 3 BHK. As per the area plan, units are in the size range of 1075.0 - 1410.0 sq.ft.. Launched in December 2020, GR Samskruthi is slated for possession in Nov, 2025. The address of GR Samskruthi is No 126, Indlabele Village, Attibele.GR Samskruthi ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Service Lift, Reserved Parking, Gymnasium, RO Water System, Power Backup. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. Sports enthusiasts can also make the most of Squash Court, Aerobics Room, Badminton Court, Cycling & Jogging Track. Residents can also enjoy Barbecue Area, Library, Internet / Wi-Fi, Conference Room provisions in the project. The property is equipped with Fire Sprinklers. There is 24x7 Security. It is a Gated Community. There is provision for Closed Car Parking, Visitor Parking.The project is RERA approved. For details, check RERA ID PRM/KA/RERA/1251/308/PR/201215/003745.GR Constructions is a reputed developer firm established in 1997. The firm has since then developed 15 projects and focuses on customer-centricity.Attibele is well-connected to other parts of city by road, which passes through the heart of this suburb. Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/0f72862cc1d14f9cda5630bacadb9a2e/v0/_p/gr_samskruthi-sarjapura_attibele_road-bengaluru-gr_constructions.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/0f72862cc1d14f9cda5630bacadb9a2e/v0/large/gr_samskruthi-sarjapura_attibele_road-bengaluru-gr_constructions.jpeg', 'https://img.youtube.com/vi/OS1lqgmIAl0/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/11869d939bd3492219343f22524ee0a8/v0/_p.jpeg']"
1,Provident Tivoli Hills,"Devanahalli, Nandi Hill Road, Bangalore",Residential Plots,"Sep, 2023",5.58 K/sq.ft,1200.00 sq.ft. - 3200.00 sq.ft.,61 Acres (51% open),839 units,,"Puravankara Tivoli Hills is a residential plot by Puravankara Limited. This plot is available for sale in Devanahalli, Bangalore. This project offers plots in various sizes. The minimum plot size is 1200.0 sq.ft. and the maximum size is 3200.0 sq.ft.. The address of Puravankara Tivoli Hills is Devanahalli.Puravankara Tivoli Hills ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Gymnasium, Power Backup.  For families with kids, there is Children's Play Area, Kid's Pool, nearby apart from Swimming Pool. Sports enthusiasts can also make the most of Tennis Court, Cricket Pitch, Skating Rink, Aerobics Room, Basketball Court, Badminton Court.  The property is equipped with Fire Sprinklers.Puravankara Limited is a reputed developer firm established in 1975. The firm has since then developed 78 and focuses on customer-centricity. Check out Puravankara Tivoli Hills brochure for more details.Devanahalli is well-connected to other parts of city by road, which passes through the heart of this suburb. Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/046397c05f81f547624a89c5317a2051/v0/_p/provident_tivoli_hills-devanahalli-bengaluru-provident_housing_limited.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/046397c05f81f547624a89c5317a2051/v0/large/provident_tivoli_hills-devanahalli-bengaluru-provident_housing_limited.jpeg', 'https://img.youtube.com/vi/rGnldUmxMxg/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/0c47796f0d85088cf5a8c4aa5e851efb/v0/_p.jpeg']"
2,Sowparnika Unnathi,"Sy No.25/3 A, Indlebele, Attibele, South Bangalore, Bangalore","Studio, 1, 2, 3 BHK Studio Apartment, Apartments","Jun, 2022",4.30 K/sq.ft,302.00 sq.ft. - 1068.00 sq.ft.,1 Acres,1 Building - 168 units,"May, 2018","Sowparnika Unnathi is an upcoming housing project at Sarjapura Attibele Road in Bangalore, being developed by Sowparnika Projects & Infrastructure. Keeping in mind the needs of modern lifestyle of residents, the project provides various amenities. Sowparnika Unnathi encompasses amenities such as Internet / Wi Fi, Landscaped Garden, Power Backup, Gymnasium and Lift. ATMS, medical facilities, education institutions, and parks are within easy reach. The area is also well-connected by bus and road network.","['https://is1-2.housingcdn.com/4f2250e8/328787a296a5be8f4222d4a5e07f58f9/v0/_p/sowparnika_unnathi-attibele_1-hosur-sowparnika_projects__infrastructure.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/328787a296a5be8f4222d4a5e07f58f9/v0/large/sowparnika_unnathi-attibele_1-hosur-sowparnika_projects__infrastructure.jpeg', 'https://is1-3.housingcdn.com/012c1500/2a8e19b65b6e2f171354f3e5c617d099/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/baf98877e7f06a237fd085673d130b69/v0/_p.jpeg']"
3,Sobha Manhattan Towers Town Park Phase 1 W 4 And 5,"Phase 1 At Sy.No.48/1A, Yadavanahalli, Attibele, Bangalore",3 BHK Apartment,"Dec, 2026",8.98 K/sq.ft,1001.00 sq.ft. - 1176.00 sq.ft.,3.8 Acres (75% open),280 units,,"Sobha Limited has lauched Sobha Manhattan Towers Town Park Phase 1 W 4 And 5 in Attibele, Bangalore. A residential project spread over 3.8 Acres , it offers ample amount of facilities for residents. It offers Under Construction units. Popular configurations include 3 BHK units. As per the area plan, units are in the size range of 1001.0 - 1176.0 sq.ft.. There are 280 units in Sobha Manhattan Towers Town Park Phase 1 W 4 And 5. The possession date of Sobha Manhattan Towers Town Park Phase 1 W 4 And 5 is Dec, 2026. The address of Sobha Manhattan Towers Town Park Phase 1 W 4 And 5 is Phase 1 At Sy.No.48/1A, Yadavanahalli, Attibele.Children have access to Children's Play Area, Kid's Pool, nearby apart from Swimming Pool. Ample provision for sports avenues such as Skating Rink. Other provisions include access to Sewage Treatment Plant. Own a home in Sobha Manhattan Towers Town Park Phase 1 W 4 And 5 today!.This is a RERA registered project with RERA ID PRM/KA/RERA/1251/308/PR/210518/004150, PRM/KA/RERA/1251/308/PR/210518/004151 and fulfils all conditions placed by the state regulatory body.This project has been developed by Sobha Limited. Sobha Limited is a reputed developer firm with experience in developing livable spaces for homebuyers since 1994.Yadavanahalli is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/dfe68f88a3e4dc54c9ae2c632b3f0895/v0/_p/sobha_manhattan_towers_town_park_phase_1_w_4_and_5-attibele_1-hosur-sobha_limited.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/dfe68f88a3e4dc54c9ae2c632b3f0895/v0/large/sobha_manhattan_towers_town_park_phase_1_w_4_and_5-attibele_1-hosur-sobha_limited.jpeg', 'https://is1-2.housingcdn.com/012c1500/1797cbb898f661505440c997788b13d2/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/5939043497ca19d8e30d5c534ad03605/v0/_p.jpeg']"
4,Right Grishma,"Site No. 43, 44 and 48, Sreenidhi Sacred Springs, Lakshmi Sagar Village, South Bangalore, Bangalore","1, 2 BHK Apartments","Aug, 2022",3.40 K/sq.ft,695.00 sq.ft. - 1275.00 sq.ft.,0.37 Acres,,,"Right Properties Inc appeals to individuals who desire for satisfaction, simultaneously a connectivity with nature and with its sheer expanse of space and peace. Experience the most modern and debonair lift style. Your abode to move from work and stress to reveal in cozy comfort. True reflection of quality and peaceful life. Discover a system that will enhance your vision of the way people live and function in their world. Right Properties Inc lies the amalgamation of fantastic architectures, Superior designing, Superior designing, impressive aesthetics and world class lifestyle. A four storied residential apartments offering you, your dream living space GIVING ELEVATION TO YOUR LIVING.Grishma is a well planned Apartment, located near to Chandapura, Hosur Road. The place is just a stone throw away distance form the best schools, eateries, convenience stores & Hospitals.Grishma is all set to redefine the very meaning of peaceful and happy living. Quality is the single most important parameter built-in at every stage towards the creations of Right Properties Inc.","['https://is1-2.housingcdn.com/4f2250e8/15f227bc6bd1499470389f902cbe6e20/v0/_p/right_grishma-attibele_1-hosur-right_properties_inc.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/15f227bc6bd1499470389f902cbe6e20/v0/large/right_grishma-attibele_1-hosur-right_properties_inc.jpeg', 'https://is1-2.housingcdn.com/012c1500/7fb9f20a7ca80fa6b80bee168446296c/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/d3df2ec91a51581709fd27c29370daac/v0/_p.jpeg']"
5,Golden Pearl,"Sarjapur To Attibele , South Bangalore, Bangalore","3, 4, 5, 6 BHK Villas",Ready to Move,4.57 K/sq.ft,2300.00 sq.ft. - 7000.00 sq.ft.,50 Acres (45% open),600 units,"Dec, 2014","Global Developers has lauched Golden Pearl in Sarjapura Attibele Road, Bangalore. A residential project spread over 50 Acres , it offers ample amount of facilities for residents. The project was launched in January 2015. It offers Ready to Move units. Popular configurations include 3 BHK, 4 BHK, 5 BHK, 6 BHK units. As per the area plan, units are in the size range of 2300.0 - 7000.0 sq.ft.. There are 600 units in Golden Pearl. Overall, there are 389 buildings. The possession date of Golden Pearl is Jul, 2016. The address of Golden Pearl is Sarjapur To Attibele .Enjoy a host of facilities at Golden Pearl which includes Gymnasium. Children have access to Children's Play Area, nearby apart from Swimming Pool. Ample provision for sports avenues such as Cycling & Jogging Track. Residents will enjoy access to Library, Internet / Wi-Fi, provisions in the project. There is Security Guards. Other provisions include access to Community Hall, Landscaped Garden. Own a home in Golden Pearl today!.Approved financing for property at Golden Pearl by major lenders like LIC Housing Finance, HDFC.This project has been developed by Global Developers. Global Developers is a reputed developer firm with experience in developing livable spaces for homebuyers since 2005.Attibele is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/16edf14e54070fa6c2d842c9f1fe115f/v0/_p/golden_pearl-sarjapura_attibele_road-bengaluru-global_developers.jpg', 'https://is1-3.housingcdn.com/4f2250e8/16edf14e54070fa6c2d842c9f1fe115f/v0/large/golden_pearl-sarjapura_attibele_road-bengaluru-global_developers.jpg', 'https://img.youtube.com/vi/R1z_IV75dOo/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/e7db4d3383b38747ca27d3572c6eedb7/v0/_p.jpg']"
6,Om Shri Opulence,"42/3, Indlabele Road, Near Sarjapur Road, Attibele, South Bangalore, Bangalore","2, 3 BHK Apartments","Oct, 2019",3.00 K/sq.ft,870.00 sq.ft. - 1210.00 sq.ft.,1 Acres,2 Buildings - 40 units,"Aug, 2016","There are various amenities in Om Shri Opulence with Library, Cycling & Jogging Track, Gymnasium, Indoor Game Room Billiards/Snooker Table, Carom Board, Table Tennis, Foosball Table and Children's Play Area to name a few. Located close to prominent suburbs of Bangalore, the area of Bangalore Urban has prominent schools and hospitals within a close distance.","['https://is1-3.housingcdn.com/4f2250e8/1e9c9a613f3c7e1bb5efebe75e9205bc/v0/_p/om_shri_opulence-attibele_1-hosur-om_shri_infrastructures.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/1e9c9a613f3c7e1bb5efebe75e9205bc/v0/large/om_shri_opulence-attibele_1-hosur-om_shri_infrastructures.jpeg', 'https://img.youtube.com/vi/JcV0qg2hS-k/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/216f07dd0c1c206652d1e539c3ff5397/v0/_p.jpeg']"
7,Sobha Manhattan Towers Town Park Phase 1 W 4 And 5,"Phase 1 At Sy.No.48/1A, Yadavanahalli, Attibele, Bangalore",3 BHK Apartment,"Dec, 2026",8.98 K/sq.ft,1001.00 sq.ft. - 1176.00 sq.ft.,3.8 Acres (75% open),280 units,,"Sobha Limited has lauched Sobha Manhattan Towers Town Park Phase 1 W 4 And 5 in Attibele, Bangalore. A residential project spread over 3.8 Acres , it offers ample amount of facilities for residents. It offers Under Construction units. Popular configurations include 3 BHK units. As per the area plan, units are in the size range of 1001.0 - 1176.0 sq.ft.. There are 280 units in Sobha Manhattan Towers Town Park Phase 1 W 4 And 5. The possession date of Sobha Manhattan Towers Town Park Phase 1 W 4 And 5 is Dec, 2026. The address of Sobha Manhattan Towers Town Park Phase 1 W 4 And 5 is Phase 1 At Sy.No.48/1A, Yadavanahalli, Attibele.Children have access to Children's Play Area, Kid's Pool, nearby apart from Swimming Pool. Ample provision for sports avenues such as Skating Rink. Other provisions include access to Sewage Treatment Plant. Own a home in Sobha Manhattan Towers Town Park Phase 1 W 4 And 5 today!.This is a RERA registered project with RERA ID PRM/KA/RERA/1251/308/PR/210518/004150, PRM/KA/RERA/1251/308/PR/210518/004151 and fulfils all conditions placed by the state regulatory body.This project has been developed by Sobha Limited. Sobha Limited is a reputed developer firm with experience in developing livable spaces for homebuyers since 1994.Yadavanahalli is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/dfe68f88a3e4dc54c9ae2c632b3f0895/v0/_p/sobha_manhattan_towers_town_park_phase_1_w_4_and_5-attibele_1-hosur-sobha_limited.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/dfe68f88a3e4dc54c9ae2c632b3f0895/v0/large/sobha_manhattan_towers_town_park_phase_1_w_4_and_5-attibele_1-hosur-sobha_limited.jpeg', 'https://is1-2.housingcdn.com/012c1500/1797cbb898f661505440c997788b13d2/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/5939043497ca19d8e30d5c534ad03605/v0/_p.jpeg']"
8,Om Shri Opulence,"42/3, Indlabele Road, Near Sarjapur Road, Attibele, South Bangalore, Bangalore","2, 3 BHK Apartments","Oct, 2019",3.00 K/sq.ft,870.00 sq.ft. - 1210.00 sq.ft.,1 Acres,2 Buildings - 40 units,"Aug, 2016","There are various amenities in Om Shri Opulence with Library, Cycling & Jogging Track, Gymnasium, Indoor Game Room Billiards/Snooker Table, Carom Board, Table Tennis, Foosball Table and Children's Play Area to name a few. Located close to prominent suburbs of Bangalore, the area of Bangalore Urban has prominent schools and hospitals within a close distance.","['https://is1-3.housingcdn.com/4f2250e8/1e9c9a613f3c7e1bb5efebe75e9205bc/v0/_p/om_shri_opulence-attibele_1-hosur-om_shri_infrastructures.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/1e9c9a613f3c7e1bb5efebe75e9205bc/v0/large/om_shri_opulence-attibele_1-hosur-om_shri_infrastructures.jpeg', 'https://img.youtube.com/vi/JcV0qg2hS-k/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/216f07dd0c1c206652d1e539c3ff5397/v0/_p.jpeg']"
9,Pentagon City,"Attibele, South Bangalore, Bangalore",Residential Plots,,Price on request,1200.00 sq.ft. - 2400.00 sq.ft.,,,,"Pentagon City is a residential plot by Reputed Builder. This plot is available for sale in Attibele, Bangalore. This project offers plots in various sizes. The minimum plot size is 1200.0 sq.ft. and the maximum size is 2400.0 sq.ft.. The address of Pentagon City is Attibele.Pentagon City ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Power Backup.  The property is equipped with Fire Sprinklers.  It is an Earthquake Resistant Structure.Reputed Builder is a reputed developer firm established in 2001. The firm has since then developed 58274 and focuses on customer-centricity. Check out Pentagon City brochure for more details.Attibele is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/9c76f6ec3f37eb4c47233fa134ea880d/v0/_p/pentagon_city-attibele_1-hosur-reputed_builder.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/9c76f6ec3f37eb4c47233fa134ea880d/v0/large/pentagon_city-attibele_1-hosur-reputed_builder.jpeg']"
