,Flat Name,Flat address,Configurations,Possession_Starts,Avg. Price,Sizes,Project Size,Launch Date,About,images,Project Area
0,Giridhari Prospera County,"Rajendra Nagar Road, Kismatpur, West Hyderabad, Hyderabad","4, 4.5 BHK Villa, Triplexes","Dec, 2023",14.00 K/sq.ft,4750.00 sq.ft. - 6150.00 sq.ft.,98 units,"Jun, 2020","Giridhari Constructions present a premier housing project located in Rajendra Nagar, Hyderabad. The project offers luxurious and contemporary 4.5 BHK and 5 BHK triplex villas of varying carpet area.The project offers ultra-luxury level amenities such as a gymnasium, kids play area, crche, grocery shop, library, salon, cafeteria, swimming pool, toddler pool, yoga/meditation area and Amphitheatre along with all the basic essential facilities.Schools, healthcare centres, bank branches, parks, groceries, restaurants and utility stores are located in near the project. The Falaknuma railway station and Rajiv Gandhi International airport are 11.6 kilometres and 21.0 kilometres away, respectively, from here.","['https://is1-2.housingcdn.com/4f2250e8/c7d76723e79c2324ca777a23d2cf9adf/v0/_p/giridhari_prospera_county-kismatpur-hyderabad-giridhari_constructions.jpg', 'https://is1-2.housingcdn.com/4f2250e8/c7d76723e79c2324ca777a23d2cf9adf/v0/large/giridhari_prospera_county-kismatpur-hyderabad-giridhari_constructions.jpg', 'https://img.youtube.com/vi/CeWoxqiD9wg/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/263b9b435834ca805e223d4f6a859b9e/v0/_p.jpeg']",
1,Prestige Royal Woods,"Kismatpur, West Hyderabad, Hyderabad","3, 3.5, 4.5 BHK Villas",Ready to Move in,9.30 K/sq.ft,2838.00 sq.ft. - 5200.00 sq.ft.,152 units,"Feb, 2011",Prestige Royal Woods comes up as an exclusive residential enclave. A haven that has been conceived for those who value the finer things in life and believe that good taste defines fine living. Each stately home has been designed with impeccable taste to suit those whose lifestyle is several cuts above the rest. And the entire dominion has been lavishly laid out with sprawling open areas to facilitate both undisturbed private moments and exuberant camaraderie. Life at Prestige Royal Woods is about a splendid sense of ease. Residents will enjoy the privilege of abundant avenues to enjoy their leisure while being at Prestige Royal Woods.,"['https://is1-2.housingcdn.com/4f2250e8/668126dd6faf6b4df020910f9def2c8c/v0/_p/prestige_royal_woods-kismatpur-hyderabad-prestige_estates_projects_ltd.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/668126dd6faf6b4df020910f9def2c8c/v0/large/prestige_royal_woods-kismatpur-hyderabad-prestige_estates_projects_ltd.jpeg', 'https://img.youtube.com/vi/wqpV0nc_px4/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/3ca35142862d2251ca8c94e7a80399c5/v0/_p.png']",24 Acres
2,Giridhari Prospera County,"Rajendra Nagar Road, Kismatpur, West Hyderabad, Hyderabad","4, 4.5 BHK Villa, Triplexes","Dec, 2023",14.00 K/sq.ft,4750.00 sq.ft. - 6150.00 sq.ft.,98 units,"Jun, 2020","Giridhari Constructions present a premier housing project located in Rajendra Nagar, Hyderabad. The project offers luxurious and contemporary 4.5 BHK and 5 BHK triplex villas of varying carpet area.The project offers ultra-luxury level amenities such as a gymnasium, kids play area, crche, grocery shop, library, salon, cafeteria, swimming pool, toddler pool, yoga/meditation area and Amphitheatre along with all the basic essential facilities.Schools, healthcare centres, bank branches, parks, groceries, restaurants and utility stores are located in near the project. The Falaknuma railway station and Rajiv Gandhi International airport are 11.6 kilometres and 21.0 kilometres away, respectively, from here.","['https://is1-2.housingcdn.com/4f2250e8/c7d76723e79c2324ca777a23d2cf9adf/v0/_p/giridhari_prospera_county-kismatpur-hyderabad-giridhari_constructions.jpg', 'https://is1-2.housingcdn.com/4f2250e8/c7d76723e79c2324ca777a23d2cf9adf/v0/large/giridhari_prospera_county-kismatpur-hyderabad-giridhari_constructions.jpg', 'https://img.youtube.com/vi/CeWoxqiD9wg/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/263b9b435834ca805e223d4f6a859b9e/v0/_p.jpeg']",
3,Vaishnavi Houdini,"Bandlaguda Jagir, West Hyderabad, Hyderabad","2, 3 BHK Apartments","Dec, 2024",5.20 K/sq.ft,1193.00 sq.ft. - 2028.00 sq.ft.,3 Buildings - 585 units,"Jun, 2021","For those who dream with a passion for the extraordinary, Modern is the search stopper. This project is an example of sound construction, high amenity value and a quality lifestyle, Spread over 4.10 Acres. Built keeping in mind the needs of new-age home buyers, Houdini will delight residents with its unique balance of technology & sustainability. The project offers you amazing amenities and warmth of a modern lifestyle while keeping you closer to nature at Bandlaguda Jagir.","['https://is1-2.housingcdn.com/4f2250e8/f6d03351b1d5378d6c69b86b7fbd928b/v0/_p/vaishnavi_houdini-bandlaguda-hyderabad-vaishnavi_infracon_india_pvt_ltd.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/f6d03351b1d5378d6c69b86b7fbd928b/v0/large/vaishnavi_houdini-bandlaguda-hyderabad-vaishnavi_infracon_india_pvt_ltd.jpeg', 'https://img.youtube.com/vi/ZQ6BvHtWCpo/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/d7646abe228b38be46d78ea381b87362/v0/_p.jpeg']",4.11 Acres
4,Shantasriram Brookwoods,"APPA Junction, Near Masqati Dairy Product Kismatpur Road, West Hyderabad, Hyderabad","3, 4 BHK Villas","Apr, 2021",7.50 K/sq.ft,3356.00 sq.ft. - 3814.00 sq.ft.,49 units,"Dec, 2018","Shantasriram Brookwoods is a residential project in Kismatpur, Hyderabad. Shantasriram Brookwoods offers Villa. Available configurations include 3 BHK, 4 BHK. Villa, as per the area plan, are in the size range of 3356.0 - 3814.0 sq.ft.. The property is Under Construction. There are 2 buildings for sale. The project was launched in January 2019 and possession date of Shantasriram Brookwoods is Apr, 2021. Shantasriram Brookwoods is located in APPA Junction, Near Masqati Dairy Product Kismatpur Road. The project is developed by Shanta Sriram Constructions. There are 49 units for sale.Shantasriram Brookwoods is equipped with various resident-centric amenities that includes Gymnasium, Power Backup. Tennis Court - these are some avenues for sports lovers. There is Security Guards. It is a Gated Community. Enjoy a class-apart lifestyle at Shantasriram Brookwoods.Bank finance is approved by major financial institutions like PNB Housing Finance, Axis Bank, LIC Housing Finance, HDFC, Indiabulls Finance, IIFL, Citibank, L&T Housing Finance, DHFL.Located close to prominent suburbs of Hyderabad, the area of Kismatpur has prominent schools and hospitals within a close distance.","['https://is1-2.housingcdn.com/4f2250e8/126b607cafe6987e2a3f9b3ae7f1ba8e/v0/_p/shantasriram_brookwoods-kismatpur-hyderabad-shanta_sriram_constructions.jpg', 'https://is1-2.housingcdn.com/4f2250e8/126b607cafe6987e2a3f9b3ae7f1ba8e/v0/large/shantasriram_brookwoods-kismatpur-hyderabad-shanta_sriram_constructions.jpg', 'https://is1-2.housingcdn.com/012c1500/9f77b1d2f1a39f6c9027f966809e62ac/v0/_p.jpg', 'https://is1-3.housingcdn.com/012c1500/3ece54450337f13a5a3e2e9b2f277f4c/v0/_p.jpg']",
5,Provident Manhattan Pods And Condos,"Rajendra Nagar., West Hyderabad, Hyderabad","1 RK, 1 BHK Apartments","Oct, 2021",Price on request,380.00 sq.ft. - 610.00 sq.ft.,200 units,"Feb, 2018","Situated in Hyderabad at Premavathi Pet, Provident Manhattan Pods And Condos is a residential development launched by Provident Housing Limited. This project provides a vast range of amenities including . Prominent suburbs of Hyderabad are close by and with several schools, hospitals, banks and offices situated in the proximity, the project is a preferred choice for home seekers.","['https://is1-3.housingcdn.com/4f2250e8/2d9acba1e2c1f557260645c4e8cbc560/v2/_p/provident_manhattan_pods_and_condos-premavathi_pet-hyderabad-provident_housing_limited.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/2d9acba1e2c1f557260645c4e8cbc560/v2/large/provident_manhattan_pods_and_condos-premavathi_pet-hyderabad-provident_housing_limited.jpeg', 'https://is1-3.housingcdn.com/012c1500/48abec69d631bca8edf3450634ad9366/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/a7ffd3604caf5376827bb01a60fae504/v0/_p.jpeg']",
6,Vaishnavi Triumph Villas,"Kismatpur, West Hyderabad, Hyderabad",3 BHK Triplex,"Mar, 2020",7.00 K/sq.ft,3264.00 sq.ft. - 3661.00 sq.ft.,109 units,"Dec, 2017","Vaishnavi Estates presents villas of alluring architecture in Kismatpur, Hyderabad. Triumph Villas come in 3 BHK triplex configurations of 3,264 square foot and 3,661 square foot carpet areas. The project offers a plethora of amenities to ensure luxurious and rejuvenating urban lifestyle to its residents. A badminton court, library, jogging track, gymnasium, swimming pool, indoor games, aerobics, cricket area, tennis court, gated community and landscaped garden are few of the several facilities provided here.Kismatpur is surrounded by developed areas; hence, the locality enjoys great connectivity via well-developed road and rail public transport. The civic utilities available in this locality include hospitals, parks, ATMs, bank branches, schools, hotels and recreational centres.","['https://is1-3.housingcdn.com/4f2250e8/006fe354a7bdf1dbc9fb4db996f902a7/v2/_p/vaishnavi_triumph_villas-kismatpur-hyderabad-vaishnavi_estates.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/006fe354a7bdf1dbc9fb4db996f902a7/v2/large/vaishnavi_triumph_villas-kismatpur-hyderabad-vaishnavi_estates.jpeg', 'https://img.youtube.com/vi/9KjKTb3uv38/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/492de5bad60885b4e998e927c4671e82/v2/_p.jpeg']",11 Acres
7,Prestige Royal Woods,"Kismatpur, West Hyderabad, Hyderabad","3, 3.5, 4.5 BHK Villas",Ready to Move in,9.30 K/sq.ft,2838.00 sq.ft. - 5200.00 sq.ft.,152 units,"Feb, 2011",Prestige Royal Woods comes up as an exclusive residential enclave. A haven that has been conceived for those who value the finer things in life and believe that good taste defines fine living. Each stately home has been designed with impeccable taste to suit those whose lifestyle is several cuts above the rest. And the entire dominion has been lavishly laid out with sprawling open areas to facilitate both undisturbed private moments and exuberant camaraderie. Life at Prestige Royal Woods is about a splendid sense of ease. Residents will enjoy the privilege of abundant avenues to enjoy their leisure while being at Prestige Royal Woods.,"['https://is1-2.housingcdn.com/4f2250e8/668126dd6faf6b4df020910f9def2c8c/v0/_p/prestige_royal_woods-kismatpur-hyderabad-prestige_estates_projects_ltd.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/668126dd6faf6b4df020910f9def2c8c/v0/large/prestige_royal_woods-kismatpur-hyderabad-prestige_estates_projects_ltd.jpeg', 'https://img.youtube.com/vi/wqpV0nc_px4/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/3ca35142862d2251ca8c94e7a80399c5/v0/_p.png']",24 Acres
8,Provident Manhattan Pods And Condos,"Rajendra Nagar., West Hyderabad, Hyderabad","1 RK, 1 BHK Apartments","Oct, 2021",Price on request,380.00 sq.ft. - 610.00 sq.ft.,200 units,"Feb, 2018","Situated in Hyderabad at Premavathi Pet, Provident Manhattan Pods And Condos is a residential development launched by Provident Housing Limited. This project provides a vast range of amenities including . Prominent suburbs of Hyderabad are close by and with several schools, hospitals, banks and offices situated in the proximity, the project is a preferred choice for home seekers.","['https://is1-3.housingcdn.com/4f2250e8/2d9acba1e2c1f557260645c4e8cbc560/v2/_p/provident_manhattan_pods_and_condos-premavathi_pet-hyderabad-provident_housing_limited.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/2d9acba1e2c1f557260645c4e8cbc560/v2/large/provident_manhattan_pods_and_condos-premavathi_pet-hyderabad-provident_housing_limited.jpeg', 'https://is1-3.housingcdn.com/012c1500/48abec69d631bca8edf3450634ad9366/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/a7ffd3604caf5376827bb01a60fae504/v0/_p.jpeg']",
9,Prestige Royal Woods,"Kismatpur, West Hyderabad, Hyderabad","3, 3.5, 4.5 BHK Villas",Ready to Move in,9.30 K/sq.ft,2838.00 sq.ft. - 5200.00 sq.ft.,152 units,"Feb, 2011",Prestige Royal Woods comes up as an exclusive residential enclave. A haven that has been conceived for those who value the finer things in life and believe that good taste defines fine living. Each stately home has been designed with impeccable taste to suit those whose lifestyle is several cuts above the rest. And the entire dominion has been lavishly laid out with sprawling open areas to facilitate both undisturbed private moments and exuberant camaraderie. Life at Prestige Royal Woods is about a splendid sense of ease. Residents will enjoy the privilege of abundant avenues to enjoy their leisure while being at Prestige Royal Woods.,"['https://is1-2.housingcdn.com/4f2250e8/668126dd6faf6b4df020910f9def2c8c/v0/_p/prestige_royal_woods-kismatpur-hyderabad-prestige_estates_projects_ltd.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/668126dd6faf6b4df020910f9def2c8c/v0/large/prestige_royal_woods-kismatpur-hyderabad-prestige_estates_projects_ltd.jpeg', 'https://img.youtube.com/vi/wqpV0nc_px4/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/3ca35142862d2251ca8c94e7a80399c5/v0/_p.png']",24 Acres
