,Flat Name,Flat address,Possession_Starts,Avg. Price,Sizes,Project Size,Launch Date,About,images,Configurations,Project Area
0,Elliots Dugar,"Plot No.E-138, 31st Cross Street, Besant Nagar, Chennai south, Chennai","Sep, 2022",Price on request,1489.00 sq.ft. - 1857.00 sq.ft.,1 Building,"Sep, 2021","Dugar homes unveils a whole new world of exclusivity and magnificence in the most up-market & sophisticated coastal neighborhood of Besant Nagar. Standing majestically on a picturesquely landscaped site area of 7100 sq.ft., Elliots Dugar will be extravagantly stylish, breathtakingly lavish and home to just 12 privileged families. Evoking images of elegance and opulence, this exquisite abode will bring together a spectacular selection of captavatingly designed, ultra-spacious 3BHK residences on stilt + 5 floors. 3BHK - 2 Nos - Pent House 3BHK - 2 Nos - Duplex 3BHK - 8 Nos - Elite Apartment Blissful serenity, gracious entry foyer, thoughtfully crafted floor plans, cutting edge fixtures, top notch specifications and unmatched attention to detail blend together to make this truly stately residence an enchanting experience that is both grand and luxurious.","['https://is1-3.housingcdn.com/4f2250e8/87fc85e57047b6f2609dcd761781a2e4/v0/_p/elliots_dugar-besant_nagar-chennai-dugar_homes.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/87fc85e57047b6f2609dcd761781a2e4/v0/large/elliots_dugar-besant_nagar-chennai-dugar_homes.jpeg', 'https://is1-2.housingcdn.com/012c1500/421be53c38ab5130653c94b3aa2f8a08/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/87085f9210c2bc9033c33de957c1a066/v0/_p.jpeg']","3 BHK Penthouse, Apartment, Duplex",
1,Casagrand First City,"Sholinganallur, Perumbakkam, Chennai south, Chennai","May, 2023",4.40 K/sq.ft,1004.00 sq.ft. - 2325.00 sq.ft.,1693 units,"Oct, 2020","Chennai's residential project, Casagrand First City is offering property for sale. Check out some Apartment. Available configurations include 2 BHK, 3 BHK, 4 BHK formats in Perumbakkam. It is a Under Construction project by Casagrand Builder Private Limited. Casagrand First City is set in an area of 15 Acres  and is complete with various modern-day amenities. As per the area plan, units are in the size range of 1240.0 - 2320.0 sq.ft.. Casagrand First City was launched in October 2020 and possession date is May, 2023. There are 1693 units in Casagrand First City. Casagrand First City is located in Sholinganallur, Perumbakkam.There are multiple amenities for residents at Casagrand First City which includes Gymnasium, Power Backup. Young families with children will love the Children's Play Area, Kid's Pool, nearby apart from Swimming Pool, Recreation Facilities. Sports enthusiasts will like the Tennis Court, Football Field, Cricket Pitch, Squash Court, Volleyball Court, Skating Rink, Aerobics Room, Cycling & Jogging Track, Golf Course. Enjoy access to Barbecue Area, Spa/Sauna/Steam, Conference Room, provisions in the project. The property has Fire Sprinklers. It is an Earthquake Resistant Structure. There is 24x7 Security. It is a Gated Community. Other provisions include access to Business Center, Banquet Hall, Party Hall, Temple, Landscaped Garden, Sewage Treatment Plant, Multipurpose Room. Own a home in Casagrand First City today!.Attractive offers are also going on, contact for more information on deals like 100+ World Class Amenities and Features. 1.5 acres Club House, 5 Acres Lush Greenery.Casagrand First City is a RERA registered project with ID TN/01/Building/0114/2021.Perumbakkam is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/9771f65084face7d3588e8a77f2297e1/v0/_p/casagrand_first_city-sholinganallur_chennai-chennai-casagrand_builder_private_limited.jpg', 'https://is1-3.housingcdn.com/4f2250e8/9771f65084face7d3588e8a77f2297e1/v0/large/casagrand_first_city-sholinganallur_chennai-chennai-casagrand_builder_private_limited.jpg', 'https://img.youtube.com/vi/1RKTui73fWw/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/02b8857b83e4bd74deb95aab596c33e5/v0/_p.jpg', 'https://daecrzzg3cbmx.cloudfront.net/prod/digitour/projects/620b94e2ab0d9800119e2b9d/preview.jpg']","2, 3, 4 BHK Apartments",15 Acres (75% open)
2,Elliots Dugar,"Plot No.E-138, 31st Cross Street, Besant Nagar, Chennai south, Chennai","Sep, 2022",Price on request,1489.00 sq.ft. - 1857.00 sq.ft.,1 Building,"Sep, 2021","Dugar homes unveils a whole new world of exclusivity and magnificence in the most up-market & sophisticated coastal neighborhood of Besant Nagar. Standing majestically on a picturesquely landscaped site area of 7100 sq.ft., Elliots Dugar will be extravagantly stylish, breathtakingly lavish and home to just 12 privileged families. Evoking images of elegance and opulence, this exquisite abode will bring together a spectacular selection of captavatingly designed, ultra-spacious 3BHK residences on stilt + 5 floors. 3BHK - 2 Nos - Pent House 3BHK - 2 Nos - Duplex 3BHK - 8 Nos - Elite Apartment Blissful serenity, gracious entry foyer, thoughtfully crafted floor plans, cutting edge fixtures, top notch specifications and unmatched attention to detail blend together to make this truly stately residence an enchanting experience that is both grand and luxurious.","['https://is1-3.housingcdn.com/4f2250e8/87fc85e57047b6f2609dcd761781a2e4/v0/_p/elliots_dugar-besant_nagar-chennai-dugar_homes.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/87fc85e57047b6f2609dcd761781a2e4/v0/large/elliots_dugar-besant_nagar-chennai-dugar_homes.jpeg', 'https://is1-2.housingcdn.com/012c1500/421be53c38ab5130653c94b3aa2f8a08/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/87085f9210c2bc9033c33de957c1a066/v0/_p.jpeg']","3 BHK Penthouse, Apartment, Duplex",
3,Sumanth Sreshta Avanthika,"Door No. 13 & 15, M. G. Ramachandran Road, Besant Nagar, Chennai, Chennai south, Chennai",Ready to Move,16.50 K/sq.ft,2570.00 sq.ft. - 3567.00 sq.ft.,1 Building - 6 units,"Aug, 2012","Sumanth & CO has launched Sumanth Sreshta Avanthika, a residential housing project located in Chennai at Besant Nagar. The Apartment are very spacious and the size starts from 2570.0 sq ft. Sumanth Sreshta Avanthika is in close proximity to many reputed schools and hospitals. Chennai District is a prime area, with many attractions work and recreational options just a drive away. The project offers many amenities such as Landscaped Garden, Power Backup, Cycling & Jogging Track, Gymnasium and Rainwater Harvesting.","['https://is1-2.housingcdn.com/012c1500/7c39dd714ff9950d89107535dbbc257b/v2/_p/sumanth_sreshta_avanthika-besant_nagar-chennai-sumanth_%26_co.jpeg', 'https://is1-2.housingcdn.com/012c1500/7c39dd714ff9950d89107535dbbc257b/v2/large/sumanth_sreshta_avanthika-besant_nagar-chennai-sumanth_%26_co.jpeg', 'https://is1-2.housingcdn.com/012c1500/7c39dd714ff9950d89107535dbbc257b/v2/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/a6e521be8adb4060bb46ea364131d254/v2/_p.jpeg']",3 BHK Apartment,
4,Appaswamy Clover By The River,"T. S. No. 7/80, 7/81, 8/14, Block No. 16 Of Adayar Village, River View Road, Kotturpuram Mambalam Guindy Taluk, Kotturpuram, Chennai south, Chennai","Mar, 2022",18.45 K/sq.ft,1225.00 sq.ft. - 3289.00 sq.ft.,300 units,"Jun, 2018","Appaswamy Clover By The River is a residential project in Kotturpuram, Chennai. The Project is Developed by Appaswamy Real Estates. Appaswamy Clover By The River offers Apartments. There are 4 towers with 300 units for sale in this Property. Available configurations include 2 BHK, 3 BHK & 4 BHK. As per the area plan, The size ranges between 1225.0 - 3289.0 sq.ft.. The property is in the verge of completion. The project was launched in June 2018 and possession date is March, 2022. Appaswamy Clover By The River is located in T. S. No. 7/80, 7/81, 8/14, Block No. 16 Of Adyar Village, River View Road, Kotturpuram Mambalam Guindy Taluk, Kotturpuram. Appaswamy Clover By The River is equipped with various resident-centric amenities that includes Gymnasium, Power Backup. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. Enjoy a class-apart lifestyle at Appaswamy Clover By The River. Bank finance is approved by major financial institutions like HDFC, ICICI, SBI, Citibank, Axis. This project meets all mandates as required by the state authority. RERA ID of Appaswamy Clover By The River is TN/29/Building/034/2019. Located close to prominent suburbs of Chennai, the area of Kotturpuram has prominent schools and hospitals within a close distance.","['https://is1-2.housingcdn.com/4f2250e8/99325ecfacfec4428265f3c64b7cf281/v0/_p/appaswamy_clover_by_the_river-kotturpuram-chennai-appaswamy_real_estate.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/99325ecfacfec4428265f3c64b7cf281/v0/large/appaswamy_clover_by_the_river-kotturpuram-chennai-appaswamy_real_estate.jpeg', 'https://img.youtube.com/vi/xpZeF_lPMrg/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/0044ed9a8ba5a6729bf48645a373af8d/v0/_p.jpeg']","2, 3, 4 BHK Apartment, Penthouses",
5,Elevate 21,"Old Mahabaliburam Road, Kottivakam, Perungudi, Chennai south, Chennai","Jan, 2025",8.50 K/sq.ft,1355.00 sq.ft. - 1784.00 sq.ft.,1 Building - 206 units,"Jan, 2022","Looking for Apartment in Kottivakkam, Chennai?. Elevate 21 is a project by Nutech Associates. The project is offering 3 BHK. Elevate 21 is a Under Construction residential project. There are 198 units. There is 1 building in this project. As per the area plan, units are in the size range of 1355.0 - 1784.0 sq.ft.. Elevate 21 is located in Old Mahabaliburam Road, Kottivakam, Perungudi. Elevate 21 was launched in January 2022.Elevate 21 offers a host of facilities for residents. This includes Gymnasium. Sportsies can use Cycling & Jogging Track. All residents have access to Barbecue Area, Conference Room, provisions in the project. These amenities in Elevate 21 are those that every homebuyer aspires for!.RERA ID is TN/29/Building/0396/2021 dated 27/11/2021.Elevate 21 is RERA-compliant and all necessary approvals are in place.Perungudi is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/a922021442696310c0e932ff198a12ed/v0/_p/elevate_21-kottivakkam-chennai-nutech_associates.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/a922021442696310c0e932ff198a12ed/v0/large/elevate_21-kottivakkam-chennai-nutech_associates.jpeg', 'https://img.youtube.com/vi/vrNWQv8jL-8/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/060cc66154f53e3c55cb2fb30c6b5d77/v0/_p.jpeg']",3 BHK Apartment,
6,ETA Lilac Heights,"Greenways Road, Raja Annamalai Puram, Chennai south, Chennai",Ready to Move,16.50 K/sq.ft,2533.00 sq.ft. - 3170.00 sq.ft.,1 Building - 48 units,,"ETA Star Property Developers presents a housing project located in Raja Annamalai Puram, Chennai. The project comes equipped with all the basic facilities necessary to meet daily requirements of the modern urban lifestyle of its residents, including Lift, Power Backup, Swimming Pool, Gymnasium and Landscaped Garden. In ETA Lilac Heights, the interiors are thoughtfully designed to provide adequate space, light and ventilation to the residential units. Raja Annamalai Puram is well-connected to other parts of the city via an extensive road.","['https://is1-2.housingcdn.com/4f2250e8/9474e19fa6caf99e6d78fa41cf55f928/v0/_p/eta_lilac_heights-raja_annamalai_puram-chennai-eta_star_property_developers.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/9474e19fa6caf99e6d78fa41cf55f928/v0/large/eta_lilac_heights-raja_annamalai_puram-chennai-eta_star_property_developers.jpeg', 'https://img.youtube.com/vi/9-pP4mJezXI/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/07a8aca1e58bf90289cdbcda999f46d5/v0/_p.jpeg']","3 BHK Apartment, Duplex, Penthouse",0.99 Acres
7,Navins Septem,"Old No-M1 to M5,New No-38/1, 2nd Avenue, Indira Nagar, Chennai south, Chennai",Ready to Move,23.55 K/sq.ft,705.00 sq.ft.,7 Buildings - 56 units,"Jun, 2014","Find an old residential neighbourhood thats destined for the future Adyar! When it come to premium residential neighbourhood, there is nothing comparable to Adyar.With its proximity to the sea and its location along the estuaries of the Adyar river, this old residential locality has a lot to offer. Ancient landmarks like Kalakshetra, Besant Nagar Beach and the Theosophical Society blend perfectly with premier educational institutions like Sishya, St. Patricks, Vidhya Mandir, IIT Madras, College of Engineering, AC College of Technology & School of Architecture and Central Leather Research Institute are in close proximity. Quiet residential roads can be found just a few feet away from busy streets, high end shopping and finest restaurants.The best of both worlds, that’s perfect for your family.1. Location Advantages:  •Adyar bus stop - 200 Meters • Thiruvanmiyur Railway Station - 1 KmColleges: • IIT Madras – 3.06 km • NIFT – 1.67 km • Asian College of Journalism – 1.38 km • Anna University – 3.72 km • MGR Janaki College – 2.92 km • MA Chidambaram College – 1.70 km • College of Engineering • Central Leather Research InstituteSchools: • Bharat Senior Sec School – 0.83 km • Besant School – 1.15 km • KFI School – 1.45 km • American International School – 2.30 km • Sishya • St. Patricks • Vidhya MandirEntertainment: • S2 Thyagaraja theatre – 0.82 km • Phoenix Marketcity Mall – 5.15 kmHospitals: • Fortis Malar hospital – 1.94 km • Apollo Speciality Hospital – 4.58 km • Starlight Hospital – 1.31 km • Prashanth Super Speciality Hospital – 5.15 km2. Features • Children Play Area • covered car park, • security intercom, • terrace party area, • fitness training studio, • machine room-less lifts, • standby generator with auto panel3. USP:   • Located at a prime Spot • Very near to Adyar bus Depot","['https://is1-2.housingcdn.com/4f2250e8/3339629500a9ba72e2c71b84f21cebcd/v6/_p/navins_septem-adyar-chennai-navins_housing__properties_p_ltd.jpg', 'https://is1-2.housingcdn.com/4f2250e8/3339629500a9ba72e2c71b84f21cebcd/v6/large/navins_septem-adyar-chennai-navins_housing__properties_p_ltd.jpg', 'https://is1-2.housingcdn.com/012c1500/0389db336158f251b2cec2fee657a21c/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/10fc36108789e7bca474f449121f8754/v0/_p.jpeg']",2 BHK Apartment,0.54 Acres
8,Navin Pearl House,"No. 8 & 10, Malaviya Avenue, Thiruvanmiyur, Adyar, Chennai south, Chennai","Mar, 2020",18.00 K/sq.ft,1925.00 sq.ft. - 1949.00 sq.ft.,1 Building - 7 units,"Nov, 2017","Navin Pearl House is a residential project in Marudeeswarar Nagar, Chennai. Navin Pearl House offers Apartment. Available configurations include 3 BHK. Apartment, as per the area plan, are in the size range of 1925.0 - 1949.0 sq.ft.. The property is Ready to Move. There is 1 building for sale. The project was launched in November 2017 and possession date of Navin Pearl House is Mar, 2020. Navin Pearl House is located in No. 8 & 10, Malaviya Avenue, Thiruvanmiyur, Adyar. The project is developed by Navin's Housing & Properties (P) LTD. There are 7 units for sale.Navin Pearl House is equipped with various resident-centric amenities that includes Gymnasium, Power Backup. Residents can make use of Internet / Wi-Fi, provisions in the project. Enjoy a class-apart lifestyle at Navin Pearl House.Bank finance is approved by major financial institutions like State Bank of India, HDFC.Located close to prominent suburbs of Chennai, the area of Adyar has prominent schools and hospitals within a close distance.","['https://is1-3.housingcdn.com/4f2250e8/04e05c352056b51b9881fe81a57427eb/v2/_p/navin_pearl_house-marudeeswarar_nagar-chennai-navins_housing__properties_p_ltd.jpg', 'https://is1-3.housingcdn.com/4f2250e8/04e05c352056b51b9881fe81a57427eb/v2/large/navin_pearl_house-marudeeswarar_nagar-chennai-navins_housing__properties_p_ltd.jpg', 'https://is1-2.housingcdn.com/012c1500/56d6e750814a394232bdba714e4ce27f/v2/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/be0e155c17049c828dfa1fbb17492b58/v2/_p.jpeg']",3 BHK Apartment,
9,Kgeyes Apartments,"Nynan Sreet, Near Kaliappa 12C Bus Stop, RA Puram, Trustpakkam, Chennai south, Chennai",Ready to Move,Price on request,3837.00 sq.ft.,1 Building - 1 units,"Jun, 2016","Property for sale in Raja Annamalai Puram, Chennai. This project, that is, Kgeyes Apartments is a well designed project by KG Eyes. It is offering Ready to Move units. If you are looking at Apartment, you should check out Kgeyes Apartments. Available configurations include 4 BHK. As per the area plan, units are in the size of 3837.0 sq.ft.. Kgeyes Apartments was launched in July 2016. Project possession is slated for Oct, 2016. There is 1 building  in this project. Total number of flats at Kgeyes Apartments is 1. Kgeyes Apartments is located in Nynan Sreet, Near Kaliappa 12C Bus Stop, RA Puram, Trustpakkam. There are 1 units in this residential project.Come home to Kgeyes Apartments. It offers multiple facilities such as Gymnasium, Power Backup. It is an Earthquake Resistant Structure. There is Security Guards. These amenities make this property totally aspirational.Major banks such as HDFC, Axis Bank, Citibank, L&T Housing Finance, PNB Housing Finance have approved financing for Kgeyes Apartments.KG Eyes is a renowned name in the real estate space.Social infrastructure like banks, schools and parks surround Raja Annamalai Puram area.  It is also very well-connected to various parts of the city by public transport network.","['https://is1-2.housingcdn.com/4f2250e8/33968bbe340b52e6002c045d28129621/v6/_p/kgeyes_apartments-raja_annamalai_puram-chennai-kg_eyes.jpg', 'https://is1-2.housingcdn.com/4f2250e8/33968bbe340b52e6002c045d28129621/v6/large/kgeyes_apartments-raja_annamalai_puram-chennai-kg_eyes.jpg', 'https://is1-2.housingcdn.com/91aba65c/f863316cd4e601553c20a49e1e02281d/v6/_p.jpg']",4 BHK Apartment,
10,India Builders Parijatham,"Block B2,13th Cross Street, GOCH Colony, Besant Nagar, Chennai south, Chennai","Jun, 2022",16.18 K/sq.ft,1450.00 sq.ft.,1 Building - 8 units,"Oct, 2020","India Builders Parijatham is a project by India Builders Limited in Chennai. It is a Under Construction project. India Builders Parijatham offers some of the most conveniently designed Apartment. Located in Besant Nagar, it is a residential project. The project is spread over 0.13 Acres . It has 8 units. There is 1 building in this project. India Builders Parijatham offers some of the most exclusive 3 BHK. As per the area plan, units are in the size of 1450.0 sq.ft.. Launched in November 2020, India Builders Parijatham is slated for possession in Jun, 2022. The address of India Builders Parijatham is Block B2,13th Cross Street, GOCH Colony, Besant Nagar.India Builders Parijatham ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Power Backup.The project is RERA approved. For details, check RERA ID Rera Not Required.India Builders Limited is a reputed developer firm established in 1987. The firm has since then developed 179 projects and focuses on customer-centricity.Besant Nagar is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/975a66d0516db4ce7eb241e8fa2ebbfb/v0/_p/india_builders_parijatham-besant_nagar-chennai-india_builders_limited.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/975a66d0516db4ce7eb241e8fa2ebbfb/v0/large/india_builders_parijatham-besant_nagar-chennai-india_builders_limited.jpeg', 'https://is1-3.housingcdn.com/012c1500/198896c15a46059ae86a3005740c4a11/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/222f15f63af57b95d238c174a697e423/v0/_p.jpeg']",3 BHK Apartment,0.13 Acres
11,Casagrand Athens,"Mogappair, Chennai west, Chennai","Feb, 2023",4.45 K/sq.ft,1219.00 sq.ft. - 2222.00 sq.ft.,3 Buildings - 954 units,"Oct, 2020","Property for sale in Mogappair, Chennai. This project, that is, Casagrand Athens is a well designed project by Casagrand Builder Private Limited. It is offering Under Construction units. If you are looking at Apartment, you should check out Casagrand Athens. Set in an expanse of 8.09 Acres , the property offers a remarkable lifestyle. Available configurations include 2 BHK, 3 BHK. As per the area plan, units are in the size range of 1113.0 - 1656.0 sq.ft.. Casagrand Athens was launched in November 2020. Project possession is slated for Feb, 2023. There are 3 buildings in this project. Total number of flats at Casagrand Athens is 954. Casagrand Athens is located in Mogappair. There are 954 units in this residential project.Come home to Casagrand Athens. It offers multiple facilities such as Gymnasium, RO Water System, Power Backup. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. If you are passionate about sports, you will enjoy the facilities such as Tennis Court, Football Field, Cricket Pitch, Volleyball Court, Skating Rink, Aerobics Room, Basketball Court, Badminton Court, Cycling & Jogging Track. You will also get access to ATM, Spa/Sauna/Steam, Library, Restaurants/ Cafeterias, provisions in the project. It is an Earthquake Resistant Structure. It is a Gated Community. There is provision for Visitor Parking. These amenities make this property totally aspirational.Casagrand Athens has all approvals in place as mandated by the state regulatory authority. RERA ID of this project is TN/02/Building/0423/2020.Casagrand Builder Private Limited is a renowned name in the real estate space. Founded in 2004, the company has developed as many as 92 projects.Social infrastructure like banks, schools and parks surround Mogappair area. It is also very well-connected to various parts of the city by public transport network.","['https://is1-2.housingcdn.com/4f2250e8/dc0a6c705c60a3693e6d79a4744b2ad8/v0/_p/casagrand_athens-mogappair-chennai-casagrand_builder_private_limited.jpg', 'https://is1-2.housingcdn.com/4f2250e8/dc0a6c705c60a3693e6d79a4744b2ad8/v0/large/casagrand_athens-mogappair-chennai-casagrand_builder_private_limited.jpg', 'https://img.youtube.com/vi/uGoHL_HVa64/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/3cffd3924d59024ff163a4f0005a15b6/v0/_p.jpg']","2, 3, 4 BHK Apartments",8.09 Acres (75% open)
12,Casagrand Zenith,"Medavakkam, Chennai south, Chennai","Apr, 2022",4.65 K/sq.ft,1360.00 sq.ft. - 1799.00 sq.ft.,4 Buildings - 949 units,,,"['https://is1-2.housingcdn.com/4f2250e8/854fbcd22dfa6e2f23ca85e85aa1d83b/v0/_p/casagrand_zenith-medavakkam-chennai-casagrand_builder_private_limited.jpg', 'https://is1-2.housingcdn.com/4f2250e8/854fbcd22dfa6e2f23ca85e85aa1d83b/v0/large/casagrand_zenith-medavakkam-chennai-casagrand_builder_private_limited.jpg', 'https://img.youtube.com/vi/b8xE1GCX3mU/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/97a151b5b3bd88140e8b4f0883962111/v0/_p.jpg']",3 BHK Apartment,7.46 Acres
