,Flat Name,Flat address,Configurations,Possession_Starts,Avg. Price,Sizes,About,images,Project Area,Project Size,Launch Date
0,Aplite Greenstone Heritage,"Fort, Mumbai South , Mumbai","1, 2 BHK Apartments","Apr, 2024",Price on request,384.00 sq.ft. - 671.00 sq.ft.,"Aplite Greenstone Heritage is a project by Aplite Group in Mumbai. It is a Under Construction project. Aplite Greenstone Heritage offers some of the most conveniently designed Apartment. Located in Fort, it is a residential project. Aplite Greenstone Heritage offers some of the most exclusive 1 BHK, 2 BHK. As per the area plan, units are in the size range of 384.0 - 671.0 sq.ft.. The address of Aplite Greenstone Heritage is Fort.Aplite Greenstone Heritage ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Gymnasium, Power Backup. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. Sports enthusiasts can also make the most of Skating Rink. There is 24x7 Security. There is provision for Closed Car Parking.The project is RERA approved. For details, check RERA ID P51900008300 & P51900002372.The firm has since then developed 3 projects and focuses on customer-centricity.Fort is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/83f1616cd39fcdc6ebb2280c750b11bd/v0/_p/aplite_greenstone_heritage-fort-mumbai-aplite_group.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/83f1616cd39fcdc6ebb2280c750b11bd/v0/large/aplite_greenstone_heritage-fort-mumbai-aplite_group.jpeg', 'https://img.youtube.com/vi/73Rg3nlq4s8/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/3eca661197da9f2b09de700b419fcfbc/v0/_p.jpeg']",,,
1,Dosti Tulip Dosti West County,"Thane West, Thane","2, 3 BHK Apartments","Oct, 2026",Price on request,580.00 sq.ft. - 923.00 sq.ft.,"Property for sale in Thane West, Thane. This project, that is, Dosti Tulip Dosti West County is a well designed project by Dosti Realty. It is offering Under Construction units. If you are looking at Apartment, you should check out Dosti Tulip Dosti West County. Set in an expanse of 2.77 Acres , the property offers a remarkable lifestyle. Available configurations include 2 BHK, 3 BHK. As per the area plan, units are in the size range of 580.0 - 923.0 sq.ft.. Dosti Tulip Dosti West County was launched in January 2022. Project possession is slated for Oct, 2026. There are 3 buildings  in this project. Total number of flats at Dosti Tulip Dosti West County is 658. Dosti Tulip Dosti West County is located in Thane West. There are 658 units in this residential project.Come home to Dosti Tulip Dosti West County. It offers multiple facilities such as Gymnasium, Power Backup. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. There is 24x7 Security. There is provision for Closed Car Parking. These amenities make this property totally aspirational.Dosti Tulip Dosti West County has all approvals in place as mandated by the state regulatory authority. RERA ID of this project is P51700032666.Dosti Realty is a renowned name in the real estate space. Founded in 1980, the company has developed as many as 38 projects.Social infrastructure like banks, schools and parks surround Thane West area.  It is also very well-connected to various parts of the city by public transport network.","['https://is1-2.housingcdn.com/4f2250e8/be2da2c59b6b4e0f816aad57500b79ff/v0/_p/dosti_tulip_dosti_west_county-thane_west-thane-dosti_realty.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/be2da2c59b6b4e0f816aad57500b79ff/v0/large/dosti_tulip_dosti_west_county-thane_west-thane-dosti_realty.jpeg', 'https://img.youtube.com/vi/4i-KJdpM3J8/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/2e98ef7d1058e81d83f047e04918386f/v0/_p.jpeg']",2.77 Acres,3 Buildings - 658 units,"Jan, 2022"
2,Aplite Greenstone Heritage,"Fort, Mumbai South , Mumbai","1, 2 BHK Apartments","Apr, 2024",Price on request,384.00 sq.ft. - 671.00 sq.ft.,"Aplite Greenstone Heritage is a project by Aplite Group in Mumbai. It is a Under Construction project. Aplite Greenstone Heritage offers some of the most conveniently designed Apartment. Located in Fort, it is a residential project. Aplite Greenstone Heritage offers some of the most exclusive 1 BHK, 2 BHK. As per the area plan, units are in the size range of 384.0 - 671.0 sq.ft.. The address of Aplite Greenstone Heritage is Fort.Aplite Greenstone Heritage ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Gymnasium, Power Backup. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. Sports enthusiasts can also make the most of Skating Rink. There is 24x7 Security. There is provision for Closed Car Parking.The project is RERA approved. For details, check RERA ID P51900008300 & P51900002372.The firm has since then developed 3 projects and focuses on customer-centricity.Fort is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/83f1616cd39fcdc6ebb2280c750b11bd/v0/_p/aplite_greenstone_heritage-fort-mumbai-aplite_group.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/83f1616cd39fcdc6ebb2280c750b11bd/v0/large/aplite_greenstone_heritage-fort-mumbai-aplite_group.jpeg', 'https://img.youtube.com/vi/73Rg3nlq4s8/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/3eca661197da9f2b09de700b419fcfbc/v0/_p.jpeg']",,,
3,Aplite Greenstone Heritage,"Fort, Mumbai South , Mumbai","1, 2 BHK Apartments","Apr, 2024",Price on request,384.00 sq.ft. - 671.00 sq.ft.,"Aplite Greenstone Heritage is a project by Aplite Group in Mumbai. It is a Under Construction project. Aplite Greenstone Heritage offers some of the most conveniently designed Apartment. Located in Fort, it is a residential project. Aplite Greenstone Heritage offers some of the most exclusive 1 BHK, 2 BHK. As per the area plan, units are in the size range of 384.0 - 671.0 sq.ft.. The address of Aplite Greenstone Heritage is Fort.Aplite Greenstone Heritage ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Gymnasium, Power Backup. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. Sports enthusiasts can also make the most of Skating Rink. There is 24x7 Security. There is provision for Closed Car Parking.The project is RERA approved. For details, check RERA ID P51900008300 & P51900002372.The firm has since then developed 3 projects and focuses on customer-centricity.Fort is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/83f1616cd39fcdc6ebb2280c750b11bd/v0/_p/aplite_greenstone_heritage-fort-mumbai-aplite_group.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/83f1616cd39fcdc6ebb2280c750b11bd/v0/large/aplite_greenstone_heritage-fort-mumbai-aplite_group.jpeg', 'https://img.youtube.com/vi/73Rg3nlq4s8/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/3eca661197da9f2b09de700b419fcfbc/v0/_p.jpeg']",,,
4,Aplite Greenstone Heritage,"Fort, Mumbai South , Mumbai","1, 2 BHK Apartments","Apr, 2024",Price on request,384.00 sq.ft. - 671.00 sq.ft.,"Aplite Greenstone Heritage is a project by Aplite Group in Mumbai. It is a Under Construction project. Aplite Greenstone Heritage offers some of the most conveniently designed Apartment. Located in Fort, it is a residential project. Aplite Greenstone Heritage offers some of the most exclusive 1 BHK, 2 BHK. As per the area plan, units are in the size range of 384.0 - 671.0 sq.ft.. The address of Aplite Greenstone Heritage is Fort.Aplite Greenstone Heritage ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Gymnasium, Power Backup. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. Sports enthusiasts can also make the most of Skating Rink. There is 24x7 Security. There is provision for Closed Car Parking.The project is RERA approved. For details, check RERA ID P51900008300 & P51900002372.The firm has since then developed 3 projects and focuses on customer-centricity.Fort is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/83f1616cd39fcdc6ebb2280c750b11bd/v0/_p/aplite_greenstone_heritage-fort-mumbai-aplite_group.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/83f1616cd39fcdc6ebb2280c750b11bd/v0/large/aplite_greenstone_heritage-fort-mumbai-aplite_group.jpeg', 'https://img.youtube.com/vi/73Rg3nlq4s8/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/3eca661197da9f2b09de700b419fcfbc/v0/_p.jpeg']",,,
5,Aplite Greenstone Heritage,"Fort, Mumbai South , Mumbai","1, 2 BHK Apartments","Apr, 2024",Price on request,384.00 sq.ft. - 671.00 sq.ft.,"Aplite Greenstone Heritage is a project by Aplite Group in Mumbai. It is a Under Construction project. Aplite Greenstone Heritage offers some of the most conveniently designed Apartment. Located in Fort, it is a residential project. Aplite Greenstone Heritage offers some of the most exclusive 1 BHK, 2 BHK. As per the area plan, units are in the size range of 384.0 - 671.0 sq.ft.. The address of Aplite Greenstone Heritage is Fort.Aplite Greenstone Heritage ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Gymnasium, Power Backup. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. Sports enthusiasts can also make the most of Skating Rink. There is 24x7 Security. There is provision for Closed Car Parking.The project is RERA approved. For details, check RERA ID P51900008300 & P51900002372.The firm has since then developed 3 projects and focuses on customer-centricity.Fort is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/83f1616cd39fcdc6ebb2280c750b11bd/v0/_p/aplite_greenstone_heritage-fort-mumbai-aplite_group.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/83f1616cd39fcdc6ebb2280c750b11bd/v0/large/aplite_greenstone_heritage-fort-mumbai-aplite_group.jpeg', 'https://img.youtube.com/vi/73Rg3nlq4s8/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/3eca661197da9f2b09de700b419fcfbc/v0/_p.jpeg']",,,
6,Monte South 1,"Plot No. 179, Khatau Mills Compund Near Y Bridge, Next to Byculla Fire, Brigade, Byculla West8, 1841, 16/1840, Ward G South, Byculla, Central Mumbai Suburbs, Mumbai","2, 2.5, 3.5 BHK Apartments","Jun, 2022",41.35 K/sq.ft,856.00 sq.ft. - 1699.00 sq.ft.,"Montesouth 1 is a residential venture at Byculla in South Mumbai. The residential project offers the 2.5 BHK and 3.5 BHK luxury apartments whose sizes range from 1,159 square foot to 1,699 square foot. There are bars, movie halls, shopping centres and restaurants in the vicinity. South Mumbai, a prime neighbourhood, has hospitals, schools, banks and ATMs. Montesouth 1 is about 500 metres from the Byculla railway station and less than 5 kilometres from the CST railway station, Breach Candy hospital and Lower Parel.","['https://is1-3.housingcdn.com/4f2250e8/0b8001a68f1f7bf521fc5cb1517d82e5/v0/_p/monte_south_1-byculla-mumbai-marathon_realty__adani_group.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/0b8001a68f1f7bf521fc5cb1517d82e5/v0/large/monte_south_1-byculla-mumbai-marathon_realty__adani_group.jpeg', 'https://img.youtube.com/vi/Isk33h9gIBY/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/73cf0edbf778514c33e71c936c52d5ec/v0/_p.jpg']",,1 Building - 168 units,"Dec, 2013"
7,One Marina,"Chira Bazar Chandanwadi, Mumbai South , Mumbai","2, 3, 4, 5 BHK Apartments",,53.49 K/sq.ft,860.00 sq.ft. - 4517.00 sq.ft.,"Valencia And Mishal One Marina is a residential project developed by Valencia And Mishal Ventures Pvt Ltd at Marine Lines in Mumbai. The project aims to offer a comfortable living condition to the residents by encompassing , adding to its existing many facilities. ","['https://is1-2.housingcdn.com/012c1500/71d34e54a6282b747a27b621bec1ee8d/v0/_p/one_marina-marine_lines-mumbai-valencia_and_mishal_ventures_pvt_ltd.jpeg', 'https://is1-2.housingcdn.com/012c1500/71d34e54a6282b747a27b621bec1ee8d/v0/large/one_marina-marine_lines-mumbai-valencia_and_mishal_ventures_pvt_ltd.jpeg', 'https://is1-2.housingcdn.com/012c1500/71d34e54a6282b747a27b621bec1ee8d/v0/_p.jpeg']",,1 Building,
8,Greenstone Heritage,"Ramabai Ambedkar Marg, Near Hotel New Bengal, Chhatrapati Shivaji Terminus Area, Mumbai South , Mumbai", BHK ,,Price on request,On Request,"Greenstone Heritage in Fort, Mumbai is a residential project. The address of Greenstone Heritage is Ramabai Ambedkar Marg, Near Hotel New Bengal, Chhatrapati Shivaji Terminus Area.Life at Greenstone Heritage is suited for every age group. The property offers various offers a convenient living.Fort is a prime area, with many attractions work and recreational options just a drive away.","['https://is1-2.housingcdn.com/4f2250e8/c847bbd5a0109d96ec962caa7e5ce684/v0/_p/greenstone_heritage-fort-mumbai-reputed_builder.jpg', 'https://is1-2.housingcdn.com/4f2250e8/c847bbd5a0109d96ec962caa7e5ce684/v0/large/greenstone_heritage-fort-mumbai-reputed_builder.jpg', 'https://is1-2.housingcdn.com/012c1500/e27d91d482a0b4d0e959cfcc04888497/v0/_p.jpg', 'https://is1-3.housingcdn.com/012c1500/6027a36dd7466850b48b569a2e761912/v0/_p.jpg']",,,
9,Aplite Greenstone Heritage Wing D,"CS No. 1492, Fort, Mumbai South , Mumbai","1, 2 BHK Apartments","Oct, 2024",30.55 K/sq.ft,384.00 sq.ft. - 671.00 sq.ft.,"There are various amenities in Beauty Greenstone Heritage Wing D with  to name a few. Located close to prominent suburbs of Mumbai, the area of Mumbai Metropolitan Region has prominent schools and hospitals within a close distance.","['https://is1-2.housingcdn.com/4f2250e8/ff6f3c1187038952de57a3003103967b/v0/_p/aplite_greenstone_heritage_wing_d-fort-mumbai-aplite_group.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/ff6f3c1187038952de57a3003103967b/v0/large/aplite_greenstone_heritage_wing_d-fort-mumbai-aplite_group.jpeg']",,1 Building - 92 units,
