,Flat Name,Flat address,Configurations,Possession_Starts,Avg. Price,Sizes,Project Area,Project Size,Launch Date,About,images,Rera Id
0,Pride Wellington,"Sector 1, S. No. 129P, 131P, 135P, Charholi Budruk, Pune","2, 3 BHK Apartments","Dec, 2025",6.67 K/sq.ft,780.00 sq.ft. - 1157.00 sq.ft.,0.99 Acres,2 Buildings - 240 units,"Sep, 2021","'Ever thought your lifestyle would have the comfort of a 110+ amenties? Now it will, at Wellington. 12 acres of premium residential with 7 acres of expansive podium filled with unique amenities never experienced before. Bring back the nostalgia of your past and let your children too feel the magic of your olden days.'","['https://is1-3.housingcdn.com/4f2250e8/bc3c09d41ffb3407ce45223a3f63c1cd/v0/_p/pride_wellington-dhanori-pune-pride_builders_llp.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/bc3c09d41ffb3407ce45223a3f63c1cd/v0/large/pride_wellington-dhanori-pune-pride_builders_llp.jpeg', 'https://img.youtube.com/vi/TvpcyXPOwIU/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/2bff9960ceaf40e94567259f5fc5aa21/v0/_p.jpeg']",
1,Pride Notting Hill,"Chimbali, Near, At Charholi, Lohegaon, Pune","3, 4 BHK Villas","Jun, 2021",6.19 K/sq.ft,2335.00 sq.ft. - 4284.00 sq.ft.,2 Acres,28 units,"Jun, 2017","Pride Notting Hill Phase I is an upcoming housing project at Charholi Budruk in Pune, being developed by Pride Group. Keeping in mind the needs of modern lifestyle of residents, the project provides various amenities. Pride Notting Hill Phase I encompasses amenities such as . ATMS, medical facilities, education institutions, and parks are within easy reach. The area is also well-connected by bus and road network.","['https://is1-3.housingcdn.com/4f2250e8/89cdab503f0535e6956b639c8be8161f/v2/_p/pride_notting_hill-charholi_budruk-pune-pride_builders_llp.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/89cdab503f0535e6956b639c8be8161f/v2/large/pride_notting_hill-charholi_budruk-pune-pride_builders_llp.jpeg', 'https://is1-3.housingcdn.com/012c1500/deb4195c77c7ee3ec51775baccc63845/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/e46b89ea4773dc31313dc00d73cbcf53/v0/_p.jpeg']",
2,The Pride World City,"Off  D.Y. Patil Road, Near Dr. D. Y. Patil School of Engineering, Pune","1, 2, 3 BHK Apartments",Ready to Move,7.50 K/sq.ft,450.00 sq.ft. - 1424.00 sq.ft.,,1 Building - 10 units,"Feb, 2015","Pride Purple Group offers you a brand new lifestyle- The Pride World City located in Charholi Budruk, Pune. This abode is immaculately planned and aesthetically designed to showcase what upclass living is all about. The delight of the residents is that the creators have ensured of everything you need, before even you step in there. Experience a premium lifestyle that will make you proud owner of these wonderful residency. The contemporary elevation and thoughtful layout is an impeccable blend of aesthetics and design. The Pride World City is available with world-class amenities and modern facilities. ","['https://is1-2.housingcdn.com/4f2250e8/0d6f84bf44e3fab9b5d52ea8357e4c87/v6/_p/the_pride_world_city-charholi_budruk-pune-pride_group.jpg', 'https://is1-2.housingcdn.com/4f2250e8/0d6f84bf44e3fab9b5d52ea8357e4c87/v6/large/the_pride_world_city-charholi_budruk-pune-pride_group.jpg', 'https://is1-2.housingcdn.com/012c1500/7575349dc8f2d65236b79c3b4799d5f7/v0/_p.jpg', 'https://is1-3.housingcdn.com/012c1500/ec458803ee2fbe8649bcf043a10785b1/v0/_p.jpg']",
3,The Address,"Plot No.519-520, Near Proposed International Convention Centre, Nashik - Pune Hwy, Moshi, Pimpri Chinchwad, Pune","2, 2.5 BHK Apartments",Ready to Move,Price on request,676.00 sq.ft. - 882.00 sq.ft.,9 Acres,2 Buildings - 280 units,,"The Address is the right address you must be looking for. Blended with modern amenities and right location, the project helps residents to have a comfortable life. Every room comes with spacious area and large balconies for cross ventilation. living. Sophistication, elegance and class are some of the traits that are present in every corner of these beautifully carved abodes. These majestic homes are brilliantly crafted keeping in mind every small detail so that you can feel the ecstasy of living vividly in the most cheerful environs. Developer has also given importance to security for the safety of residents.","['https://is1-2.housingcdn.com/4f2250e8/1756eb03a7daf06587506a24c6174c13/v0/_p/the_address-moshi-pune-siddhi_group.jpg', 'https://is1-2.housingcdn.com/4f2250e8/1756eb03a7daf06587506a24c6174c13/v0/large/the_address-moshi-pune-siddhi_group.jpg', 'https://img.youtube.com/vi/_cJqFqNorKc/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/20eb33bb63f938a1ae5790fe810b536e/v0/_p.png']",
4,Manhattan at Pride World City,"Pride World City. Adjacent to D Y Patil Knowledge City, Pune",2 BHK Apartment,"Apr, 2024",Price on request,727.00 sq.ft.,4.39 Acres,6 Buildings - 488 units,"Sep, 2020","Manhattan is the latest addition to the galaxy of residential complexes at Pride World City. Comprising exclusively of high-quality, spacious 2 BHK apartments, Manhattan is embodiment of our design philosophy, architectural excellence and superior craftsmanship. Experience Maximum Air, Light, Spacs, Privacy & Fab Views at Manhattan. Prelaunch price range is between 48 Lakhs to 49.5 lakhs (All inclusive)","['https://is1-2.housingcdn.com/4f2250e8/e1729d744d592885706c4fd4aadf1a80/v0/_p/manhattan_at_pride_world_city-charholi_budruk-pune-pride_builders_llp.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/e1729d744d592885706c4fd4aadf1a80/v0/large/manhattan_at_pride_world_city-charholi_budruk-pune-pride_builders_llp.jpeg', 'https://is1-2.housingcdn.com/012c1500/47282e430000a320090ec3cf1c61e04d/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/fddcc4fc050dd48e49f90b781c1fdf33/v0/_p.jpeg']",
5,Sapphire Towers,"Opp Radcliffe School, Pune Alandi Road Charoli, Chovisawadi, PCMC, Alandi Road, Pune","1, 2 BHK Apartments","Dec, 2023",Price on request,432.00 sq.ft. - 700.00 sq.ft.,0.98 Acres,2 Buildings - 91 units,"Dec, 2020","Sapphire Towers is a project by Aakar Realties in Pune. It is a Under Construction project. Sapphire Towers offers some of the most conveniently designed Apartment. Located in Charholi Budruk, it is a residential project. It has 91 units. There are 2 buildings in this project. Sapphire Towers offers some of the most exclusive 1 BHK, 2 BHK. As per the area plan, units are in the size range of 432.0 - 597.0 sq.ft.. Launched in December 2020, Sapphire Towers is slated for possession in Dec, 2023. The address of Sapphire Towers is Opp Radcliffe School, Pune Alandi Road Charoli, Chovisawadi, PCMC.Sapphire Towers ensures a coveted lifestyle and offers a convenient living. The property has Fire Fighting Systems, Fire Protection And Fire Safety Requirements. Some other provisions include access to Landscaped Garden, Aggregate area of recreational Open Space, Electrical Meter Room, Energy management, Landscaping & Tree Planting, Solid Waste Management And Disposal, Storm Water Drains.The project is RERA compliant and fulfils all necessities as required by the authorities. RERA ID of Sapphire Towers is P52100027242.Established in 2011, Aakar Realties is a renowned developer firm. Till date, Aakar Realties has developed 4 projects with a focus on healthy and sustainable lifestyle.Charholi Budruk is well-connected to other parts of the city via an extensive road.","['https://is1-2.housingcdn.com/4f2250e8/8d83a63a825e9e70c81e7281cb8dec01/v0/_p/sapphire_towers-charholi_budruk-pune-aakar_realties.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/8d83a63a825e9e70c81e7281cb8dec01/v0/large/sapphire_towers-charholi_budruk-pune-aakar_realties.jpeg', 'https://is1-3.housingcdn.com/012c1500/c98f8ae0a6537d241772e53349dd6de8/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/349258d52d6743711e07538fe6f04911/v0/_p.jpeg']",
6,Aakar Coral Park,"Plot No. 39/5, 40/1E, 40/3, 39/6A, At Charholi, Alandi, Alandi Road, Pune","1, 1.5, 2 BHK Apartments","Dec, 2022",Price on request,418.00 sq.ft. - 732.00 sq.ft.,1 Acres,2 Buildings - 141 units,"Dec, 2019","Coral Park is one of the best residential real estate projects developed by Enkay Life Relators, located in Alandi area of Pune. The residential apartment is exclusively designed, keeping in mind that people nowadays like to live away from the hustle and bustle of the central city. Fresh air and serene atmosphere are one of the appealing features of the apartment. So if you want to live peacefully away from the crowded town, this is the best place for you. The project is currently under construction and will be available for possession from June 2022. The project has been constructed over 0.72 acres of land. 1BHK and 2BHK apartments are available whose area ranges from 417 sq. ft. to 732 sq. ft.The developers have promised to provide you with the exceptional amenities that you have always dreamt of. This residential complex contains amenities such as closed car parking, aggregated area of recreational open space, electrical meter room, sub-station, receiving station, energy management, internal roads and footpaths, landscaping and tree planting, open parking, sewerage (chamber, lines, septic tank, STP), street lighting, water conservation, rainwater harvesting, solid waste management and disposal, water supply and many more. Apart from these, the premium quality of materials is used for developing the entire building. Schools, colleges, and other civic utilities are found nearby of this place. The nearest railway station is almost 19 km away from the apartment, and the airport is nearly 16 km away. The place is well connected with the other parts of Pune, making the lives much more comfortable and smoother.Are we still thinking? Book our site visit immediately to know more about this project. We are just a call away from you. Our team is always ready to assist you.","['https://is1-2.housingcdn.com/4f2250e8/9ba24ec87ff9ee8141cecd05da5c34bf/v0/_p/aakar_coral_park-charholi_budruk-pune-aakar_realties.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/9ba24ec87ff9ee8141cecd05da5c34bf/v0/large/aakar_coral_park-charholi_budruk-pune-aakar_realties.jpeg', 'https://is1-2.housingcdn.com/012c1500/ab34fe88c9b917a656479eb7a8d104f0/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/e038d0734c3469b1563c58e29f45e440/v0/_p.jpeg']",
7,The Address,"Plot No.519-520, Near Proposed International Convention Centre, Nashik - Pune Hwy, Moshi, Pimpri Chinchwad, Pune","2, 2.5 BHK Apartments",Ready to Move,Price on request,676.00 sq.ft. - 882.00 sq.ft.,9 Acres,2 Buildings - 280 units,,"The Address is the right address you must be looking for. Blended with modern amenities and right location, the project helps residents to have a comfortable life. Every room comes with spacious area and large balconies for cross ventilation. living. Sophistication, elegance and class are some of the traits that are present in every corner of these beautifully carved abodes. These majestic homes are brilliantly crafted keeping in mind every small detail so that you can feel the ecstasy of living vividly in the most cheerful environs. Developer has also given importance to security for the safety of residents.","['https://is1-2.housingcdn.com/4f2250e8/1756eb03a7daf06587506a24c6174c13/v0/_p/the_address-moshi-pune-siddhi_group.jpg', 'https://is1-2.housingcdn.com/4f2250e8/1756eb03a7daf06587506a24c6174c13/v0/large/the_address-moshi-pune-siddhi_group.jpg', 'https://img.youtube.com/vi/_cJqFqNorKc/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/20eb33bb63f938a1ae5790fe810b536e/v0/_p.png']",
8,Yashada Splendid Park,"Alandi, Pune",2 BHK Apartment,"Jul, 2024",6.55 K/sq.ft,551.00 sq.ft. - 610.00 sq.ft.,6 Acres,5 Buildings - 546 units,"Aug, 2019","Situated in Alandi at Alandi, Yashada Splendid Park is a residential development launched by Yashada Realty Group. This project provides a vast range of amenities including . Prominent suburbs of Alandi are close by and with several schools, hospitals, banks and offices situated in the proximity, the project is a preferred choice for home seekers.","['https://is1-2.housingcdn.com/4f2250e8/1eb501fa03c5abe1ca5e81fe238d0da7/v0/_p/yashada_splendid_park-alandi-pune-yashada_realty_group.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/1eb501fa03c5abe1ca5e81fe238d0da7/v0/large/yashada_splendid_park-alandi-pune-yashada_realty_group.jpeg', 'https://img.youtube.com/vi/JJTaQe2zzZo/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/2e7ee2462774fcc630f4ab217a341124/v0/_p.jpeg']",
9,Ganga Newtown Ph 02,"Dhanori, Pune","1, 2, 2.5 BHK Apartments","Dec, 2024",7.33 K/sq.ft,493.00 sq.ft. - 863.00 sq.ft.,,,,"New Town is a luxurious housing project constructed by well-known real estate company Goel Ganga Developments in Dhanori, Pune. The project is offering beautiful, comfortable and spacious 1, 2, and 2.5 BHK apartments for sale. All the amenities which are required for comfort of living are available in the complex, they are entrance gateway with security watchman, entrance lobby with reception and waiting area, childrens play area, landscape garden, table tennis, mini basket ball court, steam bath, net cricket pitch, gymnasium, pleasure pool, sand pit, senior citizen sit out, mini football court, swimming pool, yoga or meditation room for recreation purpose, anti termite treatment in parking, fire fighting system for building, power back-up for common services, letterbox & nameplate for each flat, organic waste converter for waste disposal, rainwater harvesting system and others. Specifications included in the apartments are vitrified flooring in living room, bedrooms and kitchen, ceramic tiles flooring in bathrooms and terraces, oil bound distemper paint on internal walls, paint with elevation effect on external walls, internal R C C door frame with flush door shutter, aluminum sliding door for terrace opening, powder coated aluminium sliding windows, main entrance door with safety lock and nameplate, all sanitary fittings of standard quality, standard quality cp fittings in bathrooms, concealed plumbing, hot and cold mixer for shower, control valve in all toilets, granite kitchen platform with stainless steel sink, ceramic tiles up to lintel level on kitchen walls, separate connection for drinking water & wash water, washing machine provision in dry balcony, ceramic tiles up to lintel level on bathroom walls, floor mounted commode for master bedroom attached toilet and common toilet, solar heated water system for master bathroom, concealed copper wiring with MCB, provision of DTH cabling & telephone connection in living and master bedroom and others. Apartments in New Town can be bought from owners of the apartments which are put up for sale or developer Goel Ganga Developments. Dhanori is a developing area in Pune. It is located close to some prominent localities like Vishrantwadi, Viman Nagar, Lohegaon, Khese Park, Khadki, Koregaon Park, Vadgaon Sheri, Kharadi, Khandwe Nagar, Mundhwa, Wakad, Ravet, Nimbalkar Nagar and others. Many reputed schools, educational institutes, and hospitals are established here. Some well-known schools and institutes in the area are Dhaneshwar Secondary School, Dhanori School, Dhaneshwer Prathmik, Madyamik Vidyalay, Pragati English Medium School, Euro Kids, St. Peters School, Dr. Ambedkar English Medium School, St Peters school, Kidzee in dhanori, Podar Jumbo Kids Dhanori Centre and others. Some popular hospitals and medical centres in the locality are Dr Sonalis Dental Clinic, Vedant Clinic, Dhanwantri General Hospital, Sai Shraddha Health Care Center, Amay General Hospital, Orchid Hospital, Chris Rock Edward Paul Hospital, Shivsuman General Hospital and others. Restaurants, banks, and other utility shops are also located in the vicinity. Dhanori is well-connected to other areas by a network of road and rail transport. It is a comfortable locality to own a residential place.","['https://is1-3.housingcdn.com/4f2250e8/f590b7593718d86bfdb74836486ca096/v0/_p/ganga_newtown_ph_02-dhanori-pune-goel_ganga_developments.jpg', 'https://is1-3.housingcdn.com/4f2250e8/f590b7593718d86bfdb74836486ca096/v0/large/ganga_newtown_ph_02-dhanori-pune-goel_ganga_developments.jpg', 'https://is1-3.housingcdn.com/012c1500/dbd489e7f257f5e026054d05a5b80d7a/v0/_p.jpg', 'https://is1-2.housingcdn.com/012c1500/52190d131335520512fea0b92f0f2fb3/v0/_p.jpg']",
